name,height,long,lat
Sgurr Ban,989.0,-5.265905350187567,57.71851904334719
Beinn Eunaich,989.0,-5.0266520946022,56.45033336132612
Creag Leacach,988.2,-3.387756029210359,56.854638033550884
Conival,987.0,-4.883497851278435,58.135696240074786
Lurg Mhor,987.0,-5.2236675123316445,57.41307074391513
Gulvain [Gaor Bheinn],987.0,-5.284536295385942,56.93616083412537
Druim Shionnach,987.0,-5.182840166636392,57.12677270573469
Beinn Alligin - Sgurr Mhor,986.0,-5.572756571651292,57.59078553076511
Sgurr Dearg - Inaccessible Pinnacle,986.0,-6.234817830815652,57.21318254847307
Ben Vorlich,985.0,-4.219478812143463,56.34266910672793
Mullach na Dheiragain,982.0,-5.186350847859574,57.28338305200396
An Gearanach,981.4,-4.966213012055233,56.75913257628513
Stob Coire a'Chairn,981.4,-4.969035195621793,56.75073265216455
Meall na Aighean,981.0,-4.128744122939295,56.62062145385334
Slioch,981.0,-5.347030587412754,57.667153268846526
Maol Chinn-dearg,980.3,-5.252654964833451,57.127538554863264
Beinn a'Chochuill,980.0,-5.06854875444139,56.44976927694904
Stob Coire Sgriodain,979.0,-4.694926507488272,56.83173009107822
Ciste Dhubh,979.0,-5.2090151833986145,57.19921920187428
Cona' Mheall,978.0,-4.903362241537486,57.791055532142146
Beinn Dubhchraig,978.0,-4.743214010790266,56.39129639972508
Stob Ban,977.0,-4.840897563387369,56.81063687058094
Meall nan Ceapraichean,977.0,-4.934039975766527,57.79849900996555
Carn Liath,976.0,-3.744103670745562,56.8077835402076
Stuc a'Chroin,975.0,-4.2375481684314655,56.32931265234597
A'Mharconaich,975.0,-4.290669856861884,56.85699768610211
Carn a'Gheoidh,975.0,-3.4666198155291137,56.87308039422608
Beinn Sgritheall,974.0,-5.579733036905012,57.15378744716374
Ben Lomond,974.0,-4.633029326632154,56.19027493364163
Sgurr a'Ghreadaidh,973.0,-6.234436925197564,57.22719751205441
Meall Garbh,968.0,-4.2074577418082315,56.637373974541546
A'Mhaighdean,967.0,-5.346757361767688,57.71965544937114
Aonach Eagach - Sgorr nam Fiannaidh,967.0,-5.037158807216161,56.679371650491184
Ben More,966.0,-6.014030759390772,56.424751004536056
Sgurr na Banachdich,965.0,-6.241618945863291,57.22087448326418
Sgurr nan Gillean,964.0,-6.193099022579464,57.24817740959999
Carn a'Chlamain,963.5,-3.7796313194731903,56.86097734683424
Sgurr Thuilm,963.0,-5.389215896140172,56.937026170821966
Ben Klibreck - Meall nan Con,962.1,-4.411123028669953,58.2352087739051
Sgorr Ruadh,960.7,-5.407743732016915,57.49859874814148
Stuchd an Lochain [Stuc an Lochain],960.0,-4.470647476601623,56.57091244737715
Beinn nan Aighenan,960.0,-5.011247527938297,56.520201207304495
Beinn Fhionnlaidh,959.0,-5.10474583188,56.600962204573165
Meall Glas,959.0,-4.546829899271643,56.45570903272961
Tolmount,958.0,-3.297953257172674,56.90474862518039
Bruach na Frithe,958.0,-6.210795654244737,57.24668381796468
Buachaille Etive Beag - Stob Dubh,958.0,-4.970763565209308,56.638137686790444
Tom Buidhe,957.0,-3.292363751046589,56.893630104425895
Carn Ghluasaid,957.0,-5.068177186555815,57.16593304668188
Sgurr nan Coireachan,956.0,-5.448558224816856,56.93569503353268
Saileag,956.0,-5.281313070956071,57.181254379489786
Sgor Gaibhre,955.0,-4.546510638319189,56.7725533589419
Beinn Liath Mhor Fannaich,954.0,-4.989769670895476,57.706097807816434
Buachaille Etive Mor - Stob na Broige,953.4,-4.951163220117312,56.62986852453746
Am Faochagach,953.0,-4.853896541099172,57.77179884018096
Beinn Mhanach,953.0,-4.646081053248995,56.534015155296856
Sgurr nan Coireachan,953.0,-5.405448110282603,57.007126164839995
Aonach Eagach - Meall Dearg,952.2,-5.003282775860671,56.6807076197552
Meall Chuaich,951.0,-4.112591770173824,56.96385553943017
Meall Gorm,949.0,-4.983794785574426,57.68083141782865
Beinn Bhuidhe,948.5,-4.90673842452491,56.326647012387255
Sgurr Mhic Choinnich,948.0,-6.22409882104414,57.208877829148214
Driesh,947.0,-3.196514928772708,56.84801076538082
Meall Buidhe,946.0,-5.546322872202443,57.03152045743865
Carn Bhac,946.0,-3.560991425558028,56.9308217680821
Sgurr na Sgine,946.0,-5.396660722926848,57.14707317717211
Creag a'Mhaim,946.0,-5.160063804717114,57.12094181398244
Beinn Tulaichean,945.8,-4.563338260466431,56.34221504022977
Carn Dearg,945.7,-4.253251106741579,57.09227012731372
Stob a'Choire Odhair,945.0,-4.838321751184951,56.57330319287352
Bidein a'Choire Sheasgaich,945.0,-5.250473239864872,57.419696590923024
An Socach,944.0,-3.5131511102736943,56.90230890102667
Sgurr Dubh Mor,944.0,-6.2114208793138985,57.20480893257251
Ben Vorlich,943.0,-4.755065428539202,56.27401540338221
Binnein Beag,943.0,-4.911068357776913,56.7669784791884
Beinn a'Chroin,941.4,-4.60965074587073,56.331980004747884
Carn Dearg,941.0,-4.589899416082479,56.7599300997083
Carn na Caim,940.8,-4.174499177867226,56.91174423011474
Mount Keen,939.0,-2.973619713525037,56.96976645670634
Mullach nan Coirean,939.0,-5.072396381343359,56.74984939237717
Luinne Bheinn,939.0,-5.513598053554606,57.04830440523675
